tipo;numero;anoassinatura;normaNome;ementa;dataassinatura;apelido;origem;origem_tipo;origem_numero;origem_ano;autor;partido;uf;link_origem;classe;classe_extra;url;index;simbólica;simbólica_tipo;competencia_exclusiva;controle
LEI-n;15321;2025;Lei nº 15.321 de 31/12/2025;Dispõe sobre as diretrizes para a elaboração e a execução da Lei Orçamentária de 2026 e dá outras providências.;31/12/2025;;PLN 2/2025;PLN;2;2025;Poder Executivo;BR;BR;https://www.congressonacional.leg.br/materias/pesquisa/-/materia/168120;Orçamento Público / Orçamento Anual / Execução Financeira e Orçamentária;Orçamento;;"["" NORMAS , DEFINIÇÃO , LEI DE DIRETRIZES ORÇAMENTARIAS (LDO) , CRITERIOS , ELABORAÇÃO , LEI ORÇAMENTARIA ANUAL (LOA) , UNIÃO FEDERAL , META FISCAL , TRANSFERENCIA , RECURSOS FINANCEIROS , DIVIDA PUBLICA , DESPESA PUBLICA , PESSOAL , APLICAÇÃO , RECURSOS , INSTITUIÇÃO FINANCEIRA OFICIAL , FOMENTO , FISCALIZAÇÃO , INDICIO , IRREGULARIDADE , OBRAS , SERVIÇOS PUBLICOS , TRANSPARENCIA ADMINISTRATIVA .""]";nao;;sim;sim ok
LEI-n;15320;2025;Lei nº 15.320 de 26/12/2025;Altera a Lei nº 5.070, de 7 de julho de 1966, a Lei nº 11.652, de 7 de abril de 2008, a Medida Provisória nº 2.228-1, de 6 de setembro de 2001, e a Lei nº 14.173, de 15 de junho de 2021, para prorrogar até 31 de dezembro de 2030 os benefícios tributários relativos às taxas de fiscalização de instalação e de funcionamento, à Contribuição para o Fomento da Radiodifusão Pública e à Contribuição para o Desenvolvimento da Indústria Cinematográfica Nacional (Condecine) incidentes sobre estações de telecomunicações integrantes de sistemas de comunicação máquina a máquina e estações satelitais de pequeno porte.;29/12/2025;;PL 4635/2024;PL;4635;2024;Vitor Lippi;PSDB;SP;https://www.congressonacional.leg.br/materias/materias-bicamerais/-/ver/pl-4635-2024;;Comunicações;"https://normas.leg.br/?urn=urn:lex:br:federal:lei:2025-12-26;15320";;nao;;não;sim ok
LEI-n;15319;2025;Lei nº 15.319 de 26/12/2025;Reconhece a obra musical do violonista Sebastião Tapajós como manifestação da cultura nacional.;29/12/2025;;PL 2577/2022;PL;2577;2024;Jilmar Tatto;PT;SP;https://www.congressonacional.leg.br/materias/materias-bicamerais/-/ver/pl-2577-2022;Cultura;Cultura;"https://normas.leg.br/?urn=urn:lex:br:federal:lei:2025-12-26;15319@2025-12-26~texto;pt$text-html";"[""RECONHECIMENTO"",""OBRA MUSICAL"",""PESSOA FISICA"",""INSTRUMENTO MUSICAL"",""MANIFESTAÇÃO"",""CULTURA""]";sim;Manifestação Cultural;não;nao okay
LEI-n;15318;2025;Lei nº 15.318 de 23/12/2025;Abre aos Orçamentos Fiscal e da Seguridade Social da União, em favor de diversos órgãos do Poder Executivo federal e de Operações Oficiais de Crédito, crédito suplementar no valor de R$ 14.428.665.740,00 para reforço de dotações constantes da Lei Orçamentária vigente.;24/12/2025;;PLN 26/2025;PLN;26;2025;Poder Executivo;BR;BR;https://www.congressonacional.leg.br/materias/pesquisa/-/materia/170920;Orçamento Público / Crédito Adicional / Crédito Suplementar;Crédito Extra / Crédito Suplementar;"https://normas.leg.br/?urn=urn:lex:br:federal:lei:2025-12-23;15318";CREDITO SUPLEMENTAR, ORÇAMENTO FISCAL, ORÇAMENTO DA SEGURIDADE SOCIAL, UNIÃO FEDERAL, DESTINAÇÃO, ORGÃOS, EXECUTIVO, OPERAÇÕES OFICIAIS DE CREDITO .;nao;;sim;nao okay
LEI-n;15317;2025;Lei nº 15.317 de 22/12/2025;Abre ao Orçamento de Investimento da União, em favor da Telecomunicações Brasileiras S.A. - Telebras, crédito especial no valor de R$ 600.000,00, para inclusão de programações na Lei Orçamentária vigente.;23/12/2025;;PLN 28/2025;PLN;28;2025;Poder Executivo;BR;BR;https://www.congressonacional.leg.br/materias/pesquisa/-/materia/170960;Orçamento Público / Crédito Adicional / Crédito Especial;Crédito Extra / Crédito Suplementar;"https://normas.leg.br/?urn=urn:lex:br:federal:lei:2025-12-22;15317";CREDITO ESPECIAL, ORÇAMENTO DE INVESTIMENTO, UNIÃO FEDERAL, DESTINAÇÃO, TELECOMUNICAÇÕES BRASILEIRAS S/A (TELEBRAS) .;nao;;sim;sim ok
LEI-n;15316;2025;Lei nº 15.316 de 22/12/2025;Abre ao Orçamento Fiscal da União, em favor das Justiças Federal e Eleitoral, do Conselho Nacional de Justiça e do Conselho Nacional do Ministério Público, crédito suplementar no valor de R$ 254.878.286,00, para reforço de dotações constantes da Lei Orçamentária vigente.;23/12/2025;;PLN 27/2025;PLN;27;2025;Poder Executivo;BR;BR;https://www.congressonacional.leg.br/materias/pesquisa/-/materia/170921;Orçamento Público / Crédito Adicional / Crédito Suplementar;Crédito Extra / Crédito Suplementar;"https://normas.leg.br/?urn=urn:lex:br:federal:lei:2025-12-22;15316";CREDITO SUPLEMENTAR, ORÇAMENTO FISCAL, UNIÃO FEDERAL, DESTINAÇÃO, JUSTIÇA FEDERAL, JUSTIÇA ELEITORAL, CONSELHO NACIONAL DE JUSTIÇA (CNJ), CONSELHO NACIONAL DO MINISTERIO PUBLICO (CNMP) .;nao;;sim;sim ok
LEI-n;15315;2025;Lei nº 15.315 de 22/12/2025;Abre ao Orçamento Fiscal da União, em favor das Justiças Eleitoral, do Trabalho e do Distrito Federal e dos Territórios, crédito especial no valor de R$ 600.000,00, para os fins que especifica.;23/12/2025;;PLN 22/2025;PLN;22;2025;Poder Executivo;BR;BR;https://www.congressonacional.leg.br/materias/pesquisa/-/materia/170916;Orçamento Público / Crédito Adicional / Crédito Especial;Crédito Extra / Crédito Suplementar;"https://normas.leg.br/?urn=urn:lex:br:federal:lei:2025-12-22;15315";CREDITO ESPECIAL, ORÇAMENTO FISCAL, UNIÃO FEDERAL, DESTINAÇÃO, JUSTIÇA ELEITORAL, JUSTIÇA DO TRABALHO, TRIBUNAL DE JUSTIÇA DO DISTRITO FEDERAL E DOS TERRITORIOS (TJDFT) .;nao;;sim;sim ok
LEI-n;15314;2025;Lei nº 15.314 de 22/12/2025;Abre ao Orçamento Fiscal da União, em favor do Superior Tribunal de Justiça, crédito suplementar no valor de R$ 13.500.000,00, para reforço de dotações constantes da Lei Orçamentária vigente.;23/12/2025;;PLN 25/2025;PLN;25;2025;Poder Executivo;BR;BR;https://www.congressonacional.leg.br/materias/pesquisa/-/materia/170919;Orçamento Público / Crédito Adicional / Crédito Suplementar;Crédito Extra / Crédito Suplementar;"https://normas.leg.br/?urn=urn:lex:br:federal:lei:2025-12-22;15314";CREDITO SUPLEMENTAR, ORÇAMENTO FISCAL, UNIÃO FEDERAL, DESTINAÇÃO, SUPERIOR TRIBUNAL DE JUSTIÇA (STJ) .;nao;;sim;sim ok
LEI-n;15313;2025;Lei nº 15.313 de 22/12/2025;Abre ao Orçamento de Investimento da União, em favor do Banco da Amazônia S.A. - Basa, do Serviço Federal de Processamento de Dados - Serpro e da Companhia Docas do Rio Grande do Norte - CODERN, crédito suplementar no valor de R$ 46.769.856,00, para reforço de dotações constantes da Lei Orçamentária vigente.;23/12/2025;;PLN 21/2025;PLN;21;2025;Poder Executivo;BR;BR;https://www.congressonacional.leg.br/materias/pesquisa/-/materia/170914;Orçamento Público / Crédito Adicional / Crédito Especial;Crédito Extra / Crédito Suplementar;"https://normas.leg.br/?urn=urn:lex:br:federal:lei:2025-12-22;15313";CREDITO ESPECIAL, ORÇAMENTO FISCAL, ORÇAMENTO DA SEGURIDADE SOCIAL, UNIÃO FEDERAL, DESTINAÇÃO, MINISTERIO DA EDUCAÇÃO (MEC), MINISTERIO DA JUSTIÇA E SEGURANÇA PUBLICA, ITAMARATI (MRE), MINISTERIO DOS TRANSPORTES (MTR), MINISTERIO DA INTEGRAÇÃO E DO DESENVOLVIMENTO REGIONAL, MINISTERIO DAS CIDADES .;nao;;sim;sim ok
LEI-n;15312;2025;Lei nº 15.312 de 22/12/2025;Abre ao Orçamento de Investimento da União, em favor do Banco da Amazônia S.A. - Basa, do Serviço Federal de Processamento de Dados - Serpro e da Companhia Docas do Rio Grande do Norte - CODERN, crédito suplementar no valor de R$ 46.769.856,00, para reforço de dotações constantes da Lei Orçamentária vigente.;23/12/2025;;PLN 24/2025;PLN;24;2025;Poder Executivo;BR;BR;https://www.congressonacional.leg.br/materias/pesquisa/-/materia/170918;Orçamento Público / Crédito Adicional / Crédito Suplementar;Crédito Extra / Crédito Suplementar;"https://normas.leg.br/?urn=urn:lex:br:federal:lei:2025-12-22;15312";CREDITO SUPLEMENTAR, ORÇAMENTO DE INVESTIMENTO, UNIÃO FEDERAL, DESTINAÇÃO, BANCO DA AMAZONIA S/A (BASA), SERVIÇO FEDERAL DE PROCESSAMENTO DE DADOS (SERPRO), COMPANHIA DOCAS DO RIO GRANDE DO NORTE (CODERN) .;nao;;sim;sim ok
